Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
107,vmPFC,Relative,1.4941771366280197,3.9917640229681854,-3.9917687220853355,1.0,0.0,0.0,0.0,0.7055563910939041,0.08050044404452396,0.0955206972466341,0.0,0.0,0.0,0.0,-4.699117150064325e-06,0.061098048208989064,0.028812818488321845,2160627.477777369,-3478.871658127755
107,OFCmed,Relative,-2.295889826814601,4.339109558053887,-4.339112530661232,1.0,0.0,0.0,0.0,0.6522859709102559,0.07620757077083051,0.08842695124019512,0.0,0.0,0.0,0.0,-2.9726073451641355e-06,0.05501220726583762,0.031014305170748102,2131579.793033948,-3968.5539239533246
107,dmPFC,Relative,19.049367595327737,6.057596813639105,-4.038455062574951,1.0,0.0,0.0,0.0,0.4850016095094617,0.15251998222176447,0.10228262368182063,0.0,0.0,0.0,0.0,2.0191417510641534,0.06897308092624677,0.018453549238388933,2426202.754885606,-1596.9521479387768
108,vmPFC,Null,13.404269115721405,0.0,0.0,1.0,0.0,0.0,0.0,0.2677196403088061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008758114900548453,2430932.05951961,0.0
108,OFCmed,Null,12.69747021850462,0.0,0.0,1.0,0.0,0.0,0.0,0.23835207763943364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901010354812056,2364655.081425899,0.0
108,dmPFC,Null,14.636905757418269,0.0,0.0,1.0,0.0,0.0,0.0,0.34766887150073283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006184756776545508,2579986.529710354,0.0
108,vmPFC,Absolute,13.352281434128642,1.221296836621069,0.0,1.0,0.0,0.0,0.0,0.2676906487968788,0.10330125352318775,0.0,0.0,0.0,0.0,0.0,1.221296836621069,0.10330125352318775,0.009240203990845242,2430804.8771941694,-127.18232544045895
108,OFCmed,Absolute,12.651028656062444,1.0910071504511205,0.0,1.0,0.0,0.0,0.0,0.2383258703284905,0.09196944780970562,0.0,0.0,0.0,0.0,0.0,1.0910071504511205,0.09196944780970562,0.01038583275459104,2364526.9511702117,-128.13025568751618
108,dmPFC,Absolute,14.607068464314196,0.7009389906424092,0.0,1.0,0.0,0.0,0.0,0.34769976290381466,0.13417660106742163,0.0,0.0,0.0,0.0,0.0,0.7009389906424092,0.13417660106742163,0.006276358895810352,2579971.8013907126,-14.728319641202688
108,vmPFC,Relative,4.6945729969940855,16.724994341453623,-14.44264665207111,1.0,0.0,0.0,0.0,0.2858158490510518,0.18134772187218592,0.1494642321202665,0.0,0.0,0.0,0.0,2.2823476893825134,0.08453748229445145,0.040824550424063966,2421576.3025555033,-9355.756964106578
108,OFCmed,Relative,4.322791600017686,15.747877694649786,-13.72955083301305,1.0,0.0,0.0,0.0,0.25389200916326393,0.16109231736303964,0.13277001368559568,0.0,0.0,0.0,0.0,2.0183268616367354,0.07509517509561196,0.04622692519464,2354017.4450143245,-10637.63641157467
108,dmPFC,Relative,6.113795263147719,16.636930488382987,-14.260803949773319,1.0,0.0,0.0,0.0,0.3737615459990943,0.2371485175331176,0.19545446011853007,0.0,0.0,0.0,0.0,2.376126538609668,0.11054971298161453,0.024854249491763958,2574600.8995432295,-5385.630167124327
109,vmPFC,Null,8.996822441586566,0.0,0.0,1.0,0.0,0.0,0.0,0.2886669378468084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004624598201360852,1745463.0478498086,0.0
109,OFCmed,Null,9.200785965381963,0.0,0.0,1.0,0.0,0.0,0.0,0.27735373496314897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052378701339858,1728776.179715782,0.0
